Date,Time,Open,High,Low,Close,Volume,"Simple Moving Average - SMA - SMA(40)","Aroon - Aroon Up(High,20)","Aroon - Aroon Down(Low,20)","Historical Volatility - HV - HV(Close,20,251)","BOLLINGER BAND ® - BB - BBUpper(40,2)","BOLLINGER BAND ® - BB - BBLower(40,2)","Relative Strength Index - RSI - RSI(14)","Exponential Moving Average - EMA - EMA(10,Modern)"
11/17/2022,11:57 AM,392.64,392.79,392.35,392.76,199583,391.34845,95,85,1.05800971643142,392.237774437791,390.459125562209,77.8458652588778,391.925099958738
11/17/2022,11:58 AM,392.78,393,392.74,392.975,204085,391.40345,100,80,1.04842788523644,392.40867632066,390.39822367934,79.9106341373103,392.115990875331
11/17/2022,11:59 AM,392.9911,393.18,392.84,392.86,252923,391.4517,100,75,1.05894594508442,392.542986399496,390.360413600504,75.8391373091055,392.251265261634
11/17/2022,12:00 PM,392.865,393.1705,392.85,393.14,117023,391.5107,95,70,1.0739419089784,392.701035921467,390.320364078534,78.6865369070497,392.412853395883
11/17/2022,12:01 PM,393.1401,393.38,393.14,393.361,166817,391.579725,100,65,1.07149211428325,392.867073190411,390.292376809589,80.6271884494601,392.58524368754
11/17/2022,12:02 PM,393.36,393.455,393.03,393.06,214915,391.6412225,100,60,1.11982440062721,392.969865599799,390.312579400202,71.1278738146329,392.671563017078
11/17/2022,12:03 PM,393.07,393.3707,393.07,393.36,129217,391.7102225,95,55,1.13571585178214,393.10063742608,390.31980757392,74.3691312495202,392.79673337761
11/17/2022,12:04 PM,393.36,393.57,393.35,393.52,165449,391.7794725,100,50,1.13535621991186,393.245555086864,390.313389913136,75.92167699774,392.928236399862
11/17/2022,12:05 PM,393.52,393.52,393.28,393.41,176509,391.841975,95,45,1.14582882833703,393.366448109376,390.317501890625,72.6629247767637,393.015829781706
11/17/2022,12:06 PM,393.43,393.66,393.38,393.45,126660,391.902725,100,40,1.14559082168899,393.483947995402,390.321502004598,73.1148330323559,393.094769821395
11/17/2022,12:07 PM,393.47,393.47,393.23,393.23,163256,391.957475,95,35,1.17890489271091,393.566826534435,390.348123465565,66.5943060285629,393.119357126596
11/17/2022,12:08 PM,393.23,393.32,393.17,393.23,107237,392.008475,90,30,1.17257561419726,393.646351235082,390.370598764918,66.5943060285629,393.13947401267
11/17/2022,12:09 PM,393.2343,393.44,393.21,393.34,87341,392.060975,85,25,1.15685585528689,393.731260622706,390.390689377295,68.2369332067305,393.175933283093
11/17/2022,12:10 PM,393.33,393.4,393.2657,393.345,54644,392.1138775,80,20,1.15288896188437,393.809252533129,390.418502466872,68.313204100388,393.206672686167
11/17/2022,12:11 PM,393.35,393.56,393.2576,393.5588,122557,392.1756,75,15,1.15711760543105,393.896932317104,390.454267682897,71.4681290860699,393.270695834137
11/17/2022,12:12 PM,393.57,393.6,393.3901,393.4433,63713,392.2339325,70,10,1.17274187651129,393.964981377631,390.50288362237,67.5549744365346,393.302078409748
